Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
10,ants_proximity_weighted,N10_ant_mersch_col1_day11.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,113,3454,0.546,90,61.133,15.154,0.248,-0.455,476.372,283.972,0.596,7.792,9.66,1.24,1638,0.101,0.004,0.003,0.012127062,0.01,0.008,0.044336485,0.693,0.029,0.682,0.205,0.494,0.415,0.71047762,2,56.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
11,ants_proximity_weighted,N11_ant_mersch_col1_day12.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3248,0.67,92,65.616,14.34,0.219,-1.099,435.01,215.246,0.495,6.63,8.458,1.276,1271,0.025,0.003,0.002,0.010953658,0.01,0.007,0.031952996,0.773,0.025,0.756,0.117,0.644,0.182,0.472907569,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
12,ants_proximity_weighted,N12_ant_mersch_col1_day13.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3252,0.67,91,65.697,14.373,0.219,-1.2,434.424,203.381,0.468,6.613,8.527,1.289,1239,0.056,0.003,0.002,0.013349495,0.01,0.007,0.033297832,0.779,0.023,0.763,0.127,0.5,0.254,0.626998481,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
13,ants_proximity_weighted,N13_ant_mersch_col1_day14.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3399,0.701,92,68.667,14.092,0.205,-0.862,490.687,237.968,0.485,7.146,8.338,1.167,1443,0.014,0.003,0.002,0.008315916,0.01,0.007,0.034604287,0.79,0.038,0.778,0.113,0.5,0.226,0.613412733,2,49.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
14,ants_proximity_weighted,N14_ant_mersch_col1_day15.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3301,0.68,92,66.687,13.798,0.207,-1.046,518.869,274.841,0.53,7.781,11.284,1.45,1703,0.05,0.003,0.002,0.010719444,0.011,0.008,0.042483261,0.786,0.014,0.77,0.132,0.497,0.266,0.635260791,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
15,ants_proximity_weighted,N15_ant_mersch_col1_day16.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3397,0.7,93,68.626,13.897,0.203,-1.034,532.141,305.414,0.574,7.754,11.545,1.489,2083,0.042,0.003,0.002,0.009895181,0.01,0.01,0.055566456,0.802,0.023,0.785,0.122,0.468,0.261,0.654109068,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
16,ants_proximity_weighted,N16_ant_mersch_col1_day17.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3342,0.689,96,67.515,14.157,0.21,-0.646,537.293,346.068,0.644,7.958,11.995,1.507,2341,0.01,0.003,0.002,0.011355657,0.01,0.008,0.036842569,0.793,0.021,0.776,0.123,0.586,0.21,0.536506291,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
17,ants_proximity_weighted,N17_ant_mersch_col1_day18.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3423,0.706,95,69.152,13.498,0.195,-1.112,551.859,326.528,0.592,7.98,10.789,1.352,2112,0.026,0.003,0.002,0.008246437,0.011,0.008,0.037116623,0.79,0.032,0.779,0.111,0.53,0.209,0.581357303,3,33,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
18,ants_proximity_weighted,N18_ant_mersch_col1_day19.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3196,0.659,95,64.566,14.949,0.232,-0.724,525.414,330.167,0.628,8.138,10.794,1.326,1982,0.034,0.004,0.002,0.014160435,0.011,0.01,0.038613039,0.781,0.033,0.763,0.135,0.497,0.272,0.637668698,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
19,ants_proximity_weighted,N19_ant_mersch_col1_day20.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3147,0.649,91,63.576,13.92,0.219,-0.639,514.283,310.793,0.604,8.089,10.12,1.251,1673,0.033,0.004,0.002,0.012667062,0.011,0.009,0.052657805,0.773,0.039,0.753,0.161,0.489,0.329,0.671430551,2,49.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
