Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
205,ants_proximity_weighted,N205_ant_mersch_col6_day01.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10731,0.803,160,130.866,19.253,0.147,-1.322,1303.439,385.227,0.296,9.96,10.005,1.005,2915,-0.019,0.001,0.001,0.002447598,0.007,0.005,0.033670116,0.854,0.03,0.848,0.085,0.5,0.17,0.585499299,2,82,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
206,ants_proximity_weighted,N206_ant_mersch_col6_day02.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10272,0.769,157,125.268,20.436,0.163,-1.358,1117.976,313.912,0.281,8.925,9.055,1.015,2525,0.003,0.001,0.001,0.003031313,0.006,0.004,0.027800266,0.83,0.03,0.823,0.093,0.499,0.186,0.594335501,2,82,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
207,ants_proximity_weighted,N207_ant_mersch_col6_day03.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10090,0.755,158,123.049,24.815,0.202,-2.047,1135.268,361.444,0.318,9.226,9.477,1.027,2215,0.058,0.002,0.001,0.005412977,0.007,0.004,0.019308008,0.838,0.057,0.831,0.088,0.496,0.177,0.591376547,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
208,ants_proximity_weighted,N208_ant_mersch_col6_day04.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10313,0.772,158,125.768,22.027,0.175,-1.733,1163.634,350.988,0.302,9.252,9.218,0.996,2489,-0.008,0.001,0.001,0.003859243,0.006,0.004,0.019830539,0.839,0.063,0.831,0.089,0.496,0.179,0.592457502,2,82,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
209,ants_proximity_weighted,N209_ant_mersch_col6_day05.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10005,0.749,159,122.012,22.908,0.188,-1.732,1086.561,336.341,0.31,8.905,8.857,0.995,2187,0.022,0.002,0.001,0.004679388,0.006,0.005,0.02638366,0.826,0.058,0.817,0.101,0.488,0.207,0.613694135,2,82,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
210,ants_proximity_weighted,N210_ant_mersch_col6_day06.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,9726,0.728,156,118.61,23.553,0.199,-1.632,995.098,322.312,0.324,8.39,9.137,1.089,2438,0.025,0.002,0.001,0.004655791,0.006,0.004,0.019475803,0.811,0.025,0.803,0.102,0.498,0.205,0.604049755,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
211,ants_proximity_weighted,N211_ant_mersch_col6_day07.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,9860,0.738,156,120.244,22.651,0.188,-1.647,1031.78,302.61,0.293,8.581,9.113,1.062,2024,-0.005,0.002,0.001,0.004911416,0.006,0.004,0.01931183,0.816,0.024,0.806,0.103,0.5,0.206,0.602636428,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
212,ants_proximity_weighted,N212_ant_mersch_col6_day08.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,9664,0.723,154,117.854,25.112,0.213,-1.838,1037.854,360.653,0.347,8.806,9.915,1.126,2484,0.058,0.002,0.001,0.005304434,0.006,0.004,0.020042374,0.816,0.021,0.807,0.096,0.498,0.193,0.597473435,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
213,ants_proximity_weighted,N213_ant_mersch_col6_day09.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,10774,0.806,158,131.39,23.487,0.179,-2.461,1285.012,437.01,0.34,9.78,10.902,1.115,2785,0.023,0.001,0.001,0.003614822,0.006,0.005,0.020695195,0.869,0.03,0.865,0.07,0.498,0.141,0.572397573,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
214,ants_proximity_weighted,N214_ant_mersch_col6_day10.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,9354,0.7,151,114.073,24.99,0.219,-1.346,1136.451,379.183,0.334,9.962,10.705,1.075,2748,0.03,0.002,0.001,0.006339671,0.007,0.005,0.02647776,0.81,0.047,0.796,0.13,0.5,0.26,0.629891899,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
215,ants_proximity_weighted,N215_ant_mersch_col6_day11.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,164,8042,0.602,143,98.073,23.403,0.239,-1.101,907.427,309.724,0.341,9.253,10.014,1.082,2331,0.064,0.002,0.002,0.015470083,0.007,0.005,0.027339041,0.736,0.034,0.722,0.175,0.499,0.351,0.676201127,2,82,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
216,ants_proximity_weighted,N216_ant_mersch_col6_day12.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,6625,0.653,126,92.657,20.51,0.221,-1.489,783.035,291.277,0.372,8.451,9.367,1.108,2003,0.076,0.002,0.001,0.008988265,0.007,0.005,0.02111894,0.771,0.034,0.757,0.155,0.495,0.313,0.659926969,2,71.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
217,ants_proximity_weighted,N217_ant_mersch_col6_day13.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7068,0.696,136,98.853,20.452,0.207,-1.389,845.748,281.896,0.333,8.556,9.329,1.09,1858,0.042,0.002,0.001,0.007872467,0.007,0.004,0.027436493,0.796,0.046,0.784,0.133,0.493,0.27,0.639502931,2,71.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
218,ants_proximity_weighted,N218_ant_mersch_col6_day14.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7037,0.693,132,98.42,19.902,0.202,-1.327,817.301,264.301,0.323,8.304,9.231,1.112,1803,0.016,0.002,0.001,0.005667257,0.007,0.004,0.021519878,0.791,0.037,0.778,0.14,0.5,0.28,0.640042745,2,71.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
219,ants_proximity_weighted,N219_ant_mersch_col6_day15.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7098,0.699,131,99.273,21.081,0.212,-1.593,872.196,300.326,0.344,8.786,9.456,1.076,1847,0.075,0.002,0.001,0.006130886,0.007,0.005,0.028529603,0.803,0.048,0.792,0.131,0.497,0.264,0.634402315,2,71.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
220,ants_proximity_weighted,N220_ant_mersch_col6_day16.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,6611,0.651,122,92.462,20.849,0.225,-1.12,784.448,298.497,0.381,8.484,9.689,1.142,2232,0.076,0.002,0.001,0.007486769,0.007,0.004,0.028498879,0.771,0.031,0.758,0.151,0.495,0.305,0.656024558,2,71.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
221,ants_proximity_weighted,N221_ant_mersch_col6_day17.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7178,0.707,137,100.392,20.291,0.202,-1.348,887.385,318.508,0.359,8.839,9.843,1.114,2502,0.017,0.002,0.001,0.007370507,0.007,0.004,0.019795137,0.803,0.035,0.791,0.133,0.5,0.266,0.633460889,2,71.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
222,ants_proximity_weighted,N222_ant_mersch_col6_day18.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7061,0.695,129,98.755,20.101,0.204,-1.278,861.371,308.574,0.358,8.722,9.778,1.121,2934,0.03,0.002,0.001,0.006885186,0.007,0.004,0.023961589,0.793,0.042,0.781,0.134,0.497,0.27,0.637163454,2,71.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
223,ants_proximity_weighted,N223_ant_mersch_col6_day19.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7209,0.71,134,100.825,19.991,0.198,-1.613,851.594,295.766,0.347,8.446,9.7,1.148,2294,0.031,0.002,0.001,0.006402652,0.007,0.004,0.026072609,0.798,0.03,0.789,0.126,0.498,0.253,0.628243564,2,71.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
224,ants_proximity_weighted,N224_ant_mersch_col6_day20.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,6760,0.666,133,94.545,20.368,0.215,-1.193,753.986,298.403,0.396,7.975,9.683,1.214,2221,0.029,0.002,0.001,0.009867343,0.007,0.004,0.024770623,0.77,0.029,0.757,0.141,0.5,0.282,0.640831483,2,71.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
225,ants_proximity_weighted,N225_ant_mersch_col6_day21.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,143,7121,0.701,133,99.594,19.441,0.195,-1.288,808.951,335.509,0.415,8.122,10.116,1.246,2934,0.008,0.002,0.001,0.005585398,0.007,0.004,0.020255137,0.793,0.028,0.78,0.134,0.499,0.269,0.634604466,2,71.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
226,ants_proximity_weighted,N226_ant_mersch_col6_day22.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4885,0.708,115,82.797,17.119,0.207,-1.424,666.593,250.358,0.376,8.051,10.327,1.283,1817,-0.006,0.003,0.001,0.007199184,0.008,0.005,0.034569139,0.795,0.029,0.785,0.112,0.496,0.226,0.616169054,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
227,ants_proximity_weighted,N227_ant_mersch_col6_day23.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4888,0.708,107,82.847,16.339,0.197,-1.531,674.034,279.907,0.415,8.136,10.328,1.269,2157,0.022,0.003,0.001,0.005900144,0.008,0.006,0.035069349,0.788,0.034,0.78,0.114,0.497,0.229,0.61620635,2,59,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
228,ants_proximity_weighted,N228_ant_mersch_col6_day24.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4536,0.657,114,76.881,18.957,0.247,-1.193,633.203,268.522,0.424,8.236,9.735,1.182,2136,0.014,0.003,0.002,0.012890498,0.009,0.006,0.02516071,0.775,0.051,0.76,0.121,0.498,0.243,0.623018757,2,59,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
229,ants_proximity_weighted,N229_ant_mersch_col6_day25.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4658,0.675,107,78.949,18.079,0.229,-1.176,624.203,254.16,0.407,7.906,9.768,1.236,1763,0.003,0.003,0.002,0.008468372,0.009,0.005,0.026481282,0.781,0.034,0.765,0.118,0.499,0.236,0.619795101,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
230,ants_proximity_weighted,N230_ant_mersch_col6_day26.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4842,0.701,110,82.068,18.308,0.223,-1.374,641.915,261.857,0.408,7.822,9.138,1.168,1607,0.014,0.003,0.001,0.008190037,0.008,0.007,0.047828685,0.793,0.045,0.784,0.094,0.495,0.19,0.598305002,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
231,ants_proximity_weighted,N231_ant_mersch_col6_day27.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4788,0.694,111,81.153,17.487,0.215,-1.612,609.525,243.936,0.4,7.511,8.721,1.161,1601,0.003,0.003,0.001,0.007951094,0.008,0.006,0.031024774,0.78,0.041,0.77,0.099,0.5,0.198,0.59920297,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
232,ants_proximity_weighted,N232_ant_mersch_col6_day28.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4784,0.693,106,81.085,17.594,0.217,-1.458,635.932,251.648,0.396,7.843,9.524,1.214,1528,0.002,0.003,0.001,0.00656252,0.009,0.005,0.02736265,0.782,0.034,0.772,0.102,0.498,0.205,0.603886066,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
233,ants_proximity_weighted,N233_ant_mersch_col6_day29.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,5112,0.741,112,86.644,17.682,0.204,-1.825,737.034,285.001,0.387,8.506,9.89,1.163,1851,0.012,0.002,0.001,0.006625847,0.009,0.006,0.028134503,0.82,0.031,0.813,0.09,0.498,0.181,0.59135414,2,59,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
234,ants_proximity_weighted,N234_ant_mersch_col6_day30.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4709,0.682,107,79.814,17.83,0.223,-1.294,633.797,254.803,0.402,7.941,9.601,1.209,1437,-0.003,0.003,0.002,0.008757814,0.008,0.005,0.024446985,0.781,0.045,0.767,0.116,0.5,0.232,0.615838604,2,59,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
235,ants_proximity_weighted,N235_ant_mersch_col6_day31.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,118,4383,0.635,111,74.288,18.372,0.247,-1.212,510.153,230.675,0.452,6.867,8.516,1.24,1579,0.018,0.003,0.002,0.013808225,0.008,0.006,0.042498754,0.753,0.031,0.735,0.122,0.495,0.246,0.627197129,2,59,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
236,ants_proximity_weighted,N236_ant_mersch_col6_day32.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,91,2817,0.688,80,61.912,15.08,0.244,-1.601,498.198,179.955,0.361,8.047,9.086,1.129,1078,0.044,0.004,0.002,0.010720028,0.012,0.01,0.059154027,0.8,0.05,0.786,0.097,0.498,0.195,0.599574866,2,45.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
237,ants_proximity_weighted,N237_ant_mersch_col6_day33.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,91,2718,0.664,80,59.736,14.694,0.246,-1.365,467.275,177.425,0.38,7.822,9.355,1.196,1142,0.017,0.004,0.003,0.013863927,0.012,0.01,0.053198257,0.778,0.054,0.762,0.108,0.499,0.216,0.608906294,2,45.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
238,ants_proximity_weighted,N238_ant_mersch_col6_day34.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,91,2616,0.639,79,57.495,15.555,0.271,-1.388,429.165,189.445,0.441,7.464,8.988,1.204,1239,0.058,0.004,0.003,0.01854917,0.012,0.012,0.069861655,0.769,0.04,0.752,0.094,0.625,0.15,0.468650403,3,30.33333333,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
239,ants_proximity_weighted,N239_ant_mersch_col6_day35.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,91,2670,0.652,81,58.681,15.739,0.268,-1.474,437.143,203.002,0.464,7.449,8.668,1.164,1096,0.036,0.004,0.003,0.015361275,0.012,0.008,0.040906056,0.776,0.037,0.76,0.085,0.655,0.13,0.429215814,3,30.33333333,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
240,ants_proximity_weighted,N240_ant_mersch_col6_day36.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,91,2717,0.663,81,59.714,15.671,0.262,-1.421,518.879,281.416,0.542,8.689,11.376,1.309,2086,0.01,0.004,0.003,0.013280105,0.012,0.009,0.036220978,0.782,0.041,0.768,0.095,0.495,0.192,0.59992926,2,45.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
